City,Country,Date,Latitude,Longitude,Cloudiness,Humidity,Max Temperature,Wind Speed
Puerto Escondido,MX,2020-03-17 19:51:13,15.85,-97.07,40,74,86.0,9.17
Hermanus,ZA,2020-03-17 19:49:13,-34.42,19.23,2,92,63.0,1.14
Inhambane,MZ,2020-03-17 19:50:20,-23.86,35.38,25,77,74.03,14.16
Ponta do Sol,PT,2020-03-17 19:49:18,32.67,-17.1,40,67,59.0,21.92
Rikitea,PF,2020-03-17 19:49:09,-23.12,-134.97,4,78,80.71,11.9
Bosaso,SO,2020-03-17 19:51:14,11.28,49.18,100,86,78.08,14.56
Kapaa,US,2020-03-17 19:46:15,22.08,-159.32,75,100,73.4,9.17
Adrar,MR,2020-03-17 19:49:24,20.5,-10.07,83,27,67.59,11.16
Yellowknife,CA,2020-03-17 19:49:15,62.46,-114.35,75,64,1.99,5.82
Padang,ID,2020-03-17 19:51:14,-0.95,100.35,51,87,68.97,5.1
Mataura,NZ,2020-03-17 19:44:33,-46.19,168.86,1,74,55.99,7.0
Victoria Point,AU,2020-03-17 19:51:14,-27.58,153.3,20,53,79.0,13.87
Road Town,VG,2020-03-17 19:47:50,18.42,-64.62,40,78,78.8,5.82
Vaini,TO,2020-03-17 19:49:14,-21.2,-175.2,75,94,77.0,3.36
Semnan,IR,2020-03-17 19:51:15,35.57,53.4,63,58,56.59,10.29
Oudtshoorn,ZA,2020-03-17 19:51:15,-33.59,22.2,0,87,60.8,4.7
Province of Mantua,IT,2020-03-17 19:51:15,45.17,10.78,0,75,48.99,4.7
Ushuaia,AR,2020-03-17 19:46:44,-54.8,-68.3,40,41,57.2,16.11
Grand Gaube,MU,2020-03-17 19:51:15,-20.01,57.66,40,88,77.0,6.76
Hilo,US,2020-03-17 19:46:21,19.73,-155.09,90,83,77.0,10.29
Coquimbo,CL,2020-03-17 19:51:15,-29.95,-71.34,20,82,60.8,9.17
Zhuhai,CN,2020-03-17 19:51:15,22.28,113.57,20,73,71.01,10.29
Fortuna,US,2020-03-17 19:49:40,40.6,-124.16,90,87,48.99,11.41
Saint Paul Harbor,US,2020-03-17 19:46:34,57.79,-152.41,1,70,44.6,9.17
Bredasdorp,ZA,2020-03-17 19:49:13,-34.53,20.04,27,77,66.2,6.93
Beira,MZ,2020-03-17 19:51:15,-19.84,34.84,75,78,77.0,11.41
Antofagasta,CL,2020-03-17 19:47:28,-23.65,-70.4,34,82,64.4,9.17
Cherskiy,RU,2020-03-17 19:49:30,68.75,161.3,100,93,2.95,13.78
Saskylakh,RU,2020-03-17 19:49:16,71.92,114.08,17,79,-21.69,10.29
Castlebar,IE,2020-03-17 19:51:16,53.85,-9.3,100,85,43.0,3.0
Pisco,PE,2020-03-17 19:51:16,-13.7,-76.22,90,30,71.6,18.34
Nikolskoye,RU,2020-03-17 19:46:07,59.7,30.79,75,80,39.2,8.95
Jamestown,US,2020-03-17 19:44:21,42.1,-79.24,20,74,41.0,11.41
Paita,PE,2020-03-17 19:51:16,-5.09,-81.11,43,75,79.3,15.21
Borogontsy,RU,2020-03-17 19:51:16,62.67,131.17,99,97,0.1,4.29
Puerto Ayora,EC,2020-03-17 19:49:11,-0.74,-90.35,20,62,84.2,9.17
Berdigestyakh,RU,2020-03-17 19:51:16,62.1,126.7,99,94,-2.45,6.35
Qaanaaq,GL,2020-03-17 19:49:18,77.48,-69.36,98,59,-19.86,6.06
Rudnichnyy,RU,2020-03-17 19:51:16,59.62,52.47,44,95,20.48,6.22
Vernon,CA,2020-03-17 19:51:16,50.26,-119.27,1,29,48.2,5.82
